@relation Pulsar_Feature_Data_Type_9
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute class {0,1,2}
@data
6.64968076582,46.4765625,52.0472989278,2.44839681903,5.44205620619,4.93923145666,21.7642718214,7.49128921675,66.4661412401,2
4.57130858613,101.359375,51.194746797,0.911080680831,0.40319195332,5.28686327078,19.552658372,7.20091147728,69.210629121,2
5.43564859627,65.6015625,40.5108665676,2.13264002186,5.61323522351,8.82752457551,29.0706161934,4.6543249058,26.6108086722,2
10.4768742251,111.9765625,52.2669626837,0.397531080212,-0.150212105592,9.04736371761,34.6830985888,4.60664406984,22.5298468791,2
6.81931023316,59.4296875,51.2188447366,2.48044566678,5.69259261725,6.77926720286,24.1707228237,6.08647274622,45.4074620883,2
1.82941549682,110.03125,64.0222053153,0.284430516728,-1.13289275044,5.34137622878,17.9679387358,8.12329133897,90.4893271247,2
2.71449126966,61.9140625,57.0253544684,1.87570878202,2.68386022145,5.24396782842,16.7008691983,8.59209552761,108.446166423,2
2.45461614969,89.703125,69.2583884106,1.07072009377,-0.176971379443,6.18498659517,17.6887171082,6.84610753447,78.0479793927,2
11.3892923435,84.671875,62.2752345157,1.02435187984,0.0716822108683,6.054512958,25.5088986332,6.28636319678,45.5235216173,2
1.67713466017,86.328125,62.0521591807,1.11577257741,0.152861749742,6.35120643432,19.5255378218,6.73479793709,66.2017669266,2
10.3896144554,109.5546875,54.4489165115,0.450126271657,-0.286902449027,9.20017873101,31.9990946024,4.4984212212,23.1046891763,2
11.0692411512,143.2890625,48.7743772935,-0.20764575744,-0.22778313814,9.38695263628,35.0955220126,4.22083350758,18.0335044882,2
4.9903928633,103.7421875,62.7000854881,0.814208824511,-0.39082870027,6.98927613941,25.2285331342,6.6624260652,53.1340064752,2
5.73797583957,95.4921875,54.160640127,0.588688315478,-0.169296963697,9.38963360143,31.7329974564,4.80425581036,27.3621079172,2
6.65172227099,117.2109375,56.0111111108,0.000456023623594,-0.597992939791,7.54066130474,29.0928054932,4.85663282499,26.7104528692,2
7.58134574497,83.828125,45.7974667311,1.32900489611,2.11416498931,6.66934763181,24.1181493558,4.90549025129,31.3154247415,2
3.44519191442,78.7578125,40.7813809564,1.56103626917,4.16621640188,14.8507596068,45.0614720322,2.98546222712,7.32379028057,2
1.78110974425,82.15625,73.2587918679,1.05685897439,-0.336287731521,4.4763181412,17.9715573721,9.14779518308,105.718385718,2
9.9656599291,66.125,62.9806517908,1.47347142208,1.0600147088,7.86595174263,29.4917006056,5.68761492204,36.1482709752,2
10.6806574979,64.4453125,38.5178141809,2.7981721756,10.0620613161,5.9472743521,23.5129285675,5.53589557414,38.2655974823,2
6.14753627151,106.0703125,49.6431301254,0.24984214278,-0.131780273193,7.48346738159,31.1459627506,4.72118447027,22.6909877469,2
1.88105311384,89.453125,61.7075840374,1.15149773604,0.317390282879,6.08579088472,19.4373897837,6.88114145234,68.7017861044,2
4.17000509408,85.203125,57.0652531339,1.24408641574,0.789031836481,6.99463806971,23.4510112056,5.56681426731,41.1381573855,2
5.04931542971,93.125,48.8201418474,1.12517355861,1.25739680363,7.44414655943,26.4160744513,5.78372082839,41.3250641241,2
10.2550334644,62.25,48.5449212071,2.24635217923,5.52996208403,6.21894548704,24.6395890015,6.35394587252,48.8956612155,2
6.27987778809,75.8671875,67.1469204308,1.15829511931,-0.0462660846653,6.14298480786,22.9980595683,6.88834146695,58.1601855751,2
2.58162937584,84.2265625,60.0684784803,0.991190118307,0.0201785534572,4.49508489723,13.7752845911,8.87968664661,128.564649485,2
1.76028802319,54.265625,54.5085263363,1.99598751326,3.86700142727,4.73726541555,16.927875072,8.76411840742,102.729112466,2
9.00200206629,112.7734375,49.0223505856,0.578508914064,0.094423105414,7.40840035746,33.3148433218,5.14115353524,26.1590955473,2
