98.9214 11.0 2 3 3 4 7 10 15 24 58 101 0
98.9214 11.0 4 4 4 6 8 10 16 27 52 98 0
121.642 11.0 4 4 5 7 8 10 16 27 52 100 0
181.491 12.0 2 2 2 2 8 18 20 34 60 105 0
22.5606 12.0 8 8 8 8 8 11 26 37 59 101 0
32.3015 12.0 2 3 3 5 12 14 27 47 63 81 0
131.085 12.0 2 3 3 4 11 14 29 47 63 81 0
115.313 12.0 4 4 5 6 8 18 26 44 65 83 0
206.251 12.0 2 2 3 5 9 17 20 46 63 80 0
206.251 12.0 4 4 5 6 8 18 26 44 65 83 0
58.1837 12.0 3 3 3 4 7 16 30 42 54 74 0
252.52 12.0 3 3 3 4 7 17 30 42 55 74 0
11.4739 12.0 3 6 6 9 11 16 20 27 46 65 0
77.157 12.0 2 3 4 10 15 17 21 30 46 65 0
70.2873 12.0 5 5 5 7 10 19 26 35 48 72 0
212.573 11.0 2 3 3 10 15 17 21 30 46 65 0
877.239 10.0 7 8 8 14 15 22 28 45 65 111 1
363.312 12.0 2 2 6 11 16 27 52 77 116 161 0
16.3865 7.0 3 9 11 14 29 44 55 95 152 209 0
21.7263 8.0 8 11 11 14 32 45 55 96 152 211 0
47.6672 9.0 4 7 12 24 29 40 56 94 149 225 0
371.13 11.0 10 11 17 17 26 36 58 95 149 227 0
945.074 12.0 8 14 15 17 29 36 59 93 149 227 0
20.666 7.0 6 7 8 12 19 31 42 91 153 245 0
60.1042 12.0 2 2 7 17 23 36 53 85 148 248 0
239.424 12.0 3 5 8 17 23 32 52 89 143 241 0
294.681 12.0 8 12 16 19 23 29 57 88 141 240 0
1364.24 12.0 8 13 16 19 23 30 58 90 139 241 0
777.579 12.0 8 8 9 13 16 23 51 91 128 236 0
777.579 12.0 8 10 11 17 20 26 57 87 136 237 0
652.368 10.0 4 5 8 18 23 32 55 87 133 233 0
578.249 8.0 7 8 10 12 16 24 53 87 130 231 0
16.6333 8.0 3 4 5 6 17 35 48 81 140 217 0
1480.19 12.0 6 9 14 17 21 30 56 88 131 235 0
27.3448 12.0 4 5 6 7 15 31 43 81 140 209 0
49.4332 12.0 4 5 6 7 11 31 43 81 140 209 0
1431.15 12.0 9 10 11 12 19 25 48 86 135 220 0
262.11 10.0 4 4 5 5 18 29 42 78 133 219 0
1136.49 12.0 7 10 12 13 17 24 49 81 121 224 0
12.7252 12.0 6 15 19 23 29 37 64 99 140 214 0
14.146 9.0 8 12 14 22 28 39 65 96 140 215 0
54.5185 12.0 7 9 13 23 28 40 65 96 141 215 0
128.315 12.0 10 13 19 23 29 38 64 97 140 215 0
128.315 12.0 8 10 13 15 19 25 68 98 141 229 0
10.3698 7.0 4 5 5 13 19 28 44 79 125 165 0
1300.46 11.0 4 6 9 11 19 26 51 75 110 160 0
330.706 12.0 4 6 6 13 20 34 44 59 87 150 0
632.992 2.0 4 4 10 18 23 32 55 87 133 234 1
59.4573 12.0 4 8 9 10 10 13 19 32 44 71 0
16.3865 12.0 3 3 5 8 11 16 26 46 72 105 0
29.9019 12.0 3 3 5 7 11 16 26 46 72 105 0
88.871 12.0 1 4 6 11 13 16 27 47 68 107 0
44.6381 12.0 5 5 12 12 12 17 29 39 65 104 0
402.686 12.0 1 1 2 4 7 21 23 40 54 110 0
15.2895 12.0 5 5 5 8 10 11 26 36 51 120 0
1831.2 12.0 1 1 1 1 2 4 20 39 78 144 0
10.9426 4.0 2 3 5 6 23 33 34 60 99 143 0
47.8411 4.0 4 7 7 10 17 24 47 87 97 145 0
48.5426 11.0 4 7 7 10 17 24 47 87 97 145 0
49.3434 6.0 10 10 13 13 18 19 34 52 96 153 0
1661.03 12.0 3 7 13 16 18 23 35 52 99 148 0
18.2074 12.0 3 7 9 14 16 21 47 87 96 150 0
1600.31 12.0 7 8 13 13 14 39 68 89 103 148 0
1860.66 12.0 5 8 10 13 13 34 68 89 105 149 0
20.8748 7.0 8 17 29 36 39 44 55 76 110 145 0
31.1104 7.0 13 20 28 37 39 50 55 75 110 145 0
31.5821 7.0 13 18 26 37 39 50 56 71 110 139 0
53.6376 6.0 7 16 24 32 39 41 55 76 110 145 0
105.859 12.0 8 10 17 30 37 42 55 76 110 163 0
99.9861 8.0 7 8 13 13 14 39 68 89 103 148 0
183.763 12.0 8 16 23 33 39 51 56 73 111 139 0
201.544 12.0 9 15 30 35 39 43 55 76 110 145 0
286.941 8.0 8 16 23 33 39 51 56 73 111 139 0
321.45 12.0 4 7 19 29 40 52 56 73 111 139 0
352.518 12.0 14 20 26 37 39 47 55 76 110 145 0
412.812 12.0 10 18 29 36 39 43 55 76 110 145 0
481.697 12.0 3 7 10 22 42 52 60 75 111 139 0
637.499 12.0 8 10 17 30 37 42 55 76 110 163 0
751.814 12.0 3 4 7 19 41 52 61 76 111 139 0
