10.459 8 0 1 0
12.3364 8 0 1 0
0 8 0 51 0
10.4123 1 0 1 0
18.6115 4 0 240 0
0 1 0 59 0
11.8107 3 0.0789836 2 0
10.3576 4 0.0789836 1 0
10.7386 3 0.0987291 1 0
10.0889 3 0.13822 1 0
10.6293 8 0 1 0
12.1922 8 0 1 0
0 8 0 4153 0
25.8397 5 0 12915 0
13.1465 3 0.059238 2 0
11.4536 3 0.0987291 1 0
10.8087 3 0.118475 1 0
10.3258 3 0.13822 1 0
10.23 3 0.157966 1 0
10.6698 4 0.236951 1 0
0 12 55.5137 1 0
10.6696 8 0 1 0
12.5157 8 0 1 0
0 8 0 1180 0
11.5841 1 0 2 0
16.1217 3 0 3 0
15.964 4 0 3 0
16.7375 3 0.0197462 2 0
16.0645 4 0.0394922 13 0
16.1971 4 0.059238 7 0
15.1496 3 0.0394922 3 0
12.1732 3 0.0789836 1 0
11.7824 3 0.0987291 1 0
10.7493 3 0.118475 1 0
10.3793 4 0.13822 1 0
10.1181 4 0.197458 2 0
10.5837 4 0.197458 2 0
11.2357 12 4.32186 2 0
12.3839 8 0 1 0
0 8 0 1851 0
13.9104 1 0 2 0
16.609 4 0.0197462 5 0
15.6033 2 0 10 0
19.902 5 0 363 0
10.0656 4 0 1 0
12.0705 2 0.0197462 1 0
13.6752 3 0.0394922 2 0
16.855 4 0.0394922 1 0
15.3236 4 0.059238 1 0
11.8025 3 0.0789836 2 0
12.5196 4 0.0987291 3 0
10.1701 5 0.0987291 1 0
11.7168 4 0.118475 1 0
0 3 4.6191 2 0
12.3891 8 0 1 0
0 8 0 1957 0
14.9096 1 0 1 0
17.2242 3 0 11 0
13.1154 5 0 35 0
12.705 2 0.0197462 1 0
16.5387 3 0.0197462 1 0
15.7185 3 0.0197462 2 0
16.721 4 0.0394922 2 0
10.0028 2 0.0394922 1 0
10.1013 2 0.0394922 1 0
13.1108 3 0.059238 1 0
13.1946 3 0.059238 1 0
12.2161 3 0.0789836 3 0
14.8414 4 0.0789836 2 0
14.6295 4 0.0987291 1 0
12.1888 5 0.0987291 1 0
